start,end,amount,charging_hours,mean_power
2019-10-09 12:26:00,2019-10-09 13:51:00,9.61255,1.4166666666666667,6.785329411764706
2019-10-11 10:18:00,2019-10-11 11:41:00,8.678333333,1.3833333333333333,6.27349397566265
2019-10-12 15:33:00,2019-10-12 16:49:00,7.8296,1.2666666666666666,6.181263157894737
2019-10-14 13:34:00,2019-10-14 15:38:00,13.38638333,2.066666666666667,6.477282256451612
2019-10-16 10:27:00,2019-10-16 10:50:00,2.4938833330000003,0.38333333333333336,6.505782607826087
2019-10-16 14:51:00,2019-10-16 16:50:00,13.01748333,1.9833333333333334,6.563436973109243
2019-10-17 19:06:00,2019-10-17 21:16:00,14.10161667,2.1666666666666665,6.508438463076923
2019-10-18 14:24:00,2019-10-18 15:56:00,9.6387,1.5333333333333334,6.286108695652174
2019-10-19 14:13:00,2019-10-19 15:53:00,10.61531667,1.6666666666666667,6.369190002
2019-10-20 11:05:00,2019-10-20 12:37:00,9.587833332999999,1.5333333333333334,6.2529347823913035
2019-10-22 13:50:00,2019-10-22 15:19:00,9.356033333,1.4833333333333334,6.307438202022471
2019-10-23 09:34:00,2019-10-23 10:25:00,4.583583333,0.85,5.3924509800000004
2019-10-23 15:10:00,2019-10-23 16:47:00,10.43223333,1.6166666666666667,6.452927832989691
2019-10-24 17:19:00,2019-10-24 18:25:00,6.7571,1.1,6.142818181818182
2019-10-26 14:12:00,2019-10-26 16:06:00,12.36816667,1.9,6.509561405263159
2019-10-28 17:19:00,2019-10-28 18:45:00,8.995083333,1.4333333333333333,6.275639534651162
2019-10-29 15:54:00,2019-10-29 17:29:00,10.19638333,1.5833333333333333,6.439821050526316
2019-10-30 09:26:00,2019-10-30 10:24:00,5.79615,0.9666666666666667,5.9960172413793105
2019-10-30 14:58:00,2019-10-30 16:31:00,9.9842,1.55,6.441419354838709
2019-10-31 13:04:00,2019-10-31 14:46:00,10.95893333,1.7,6.446431370588236
