number,27_starttime,27_endtime,27_amount,1222_starttime,1222_endtime,1222_amount,5679_starttime,5679_endtime,5679_amount,9053_starttime,9053_endtime,9053_amount
100,2019/8/23 10:41,2019/8/23 12:26,5.535266667,2019/9/6 16:44,2019/9/6 17:49,6.056966667,2019/10/9 12:26,2019/10/9 13:51,9.61255,2019/6/23 11:44,2019/6/23 11:49,0.091516667
101,2019/8/23 19:28,2019/8/23 21:49,7.601416667,2019/9/7 11:03,2019/9/7 11:42,3.898083333,2019/10/11 10:18,2019/10/11 11:41,8.678333333,2019/6/23 14:11,2019/6/23 14:14,0.006483333
102,2019/8/24 20:35,2019/8/24 23:01,7.823783333,2019/9/7 12:27,2019/9/7 13:15,3.721766667,2019/10/12 15:33,2019/10/12 16:49,7.8296,2019/6/23 15:14,2019/6/23 15:18,0.008133333
103,2019/8/25 16:03,2019/8/25 18:47,8.88305,2019/9/8 13:00,2019/9/8 14:03,5.51565,2019/10/14 13:34,2019/10/14 15:38,13.38638333,2019/6/24 18:52,2019/6/25 3:57,2.73865
104,2019/8/26 13:54,2019/8/26 16:15,7.5673,2019/9/8 17:13,2019/9/8 18:11,4.947,2019/10/16 10:16,2019/10/16 10:23,0.6009,2019/6/25 18:13,2019/6/25 18:17,0.052366667
105,2019/8/26 19:51,2019/8/26 23:27,11.79323333,2019/9/9 16:44,2019/9/9 17:36,3.961133333,2019/10/16 10:27,2019/10/16 10:50,2.493883333,2019/6/25 19:10,2019/6/25 23:18,1.036066667
106,2019/8/27 13:34,2019/8/27 16:07,8.227816667,2019/9/10 16:56,2019/9/10 17:50,4.306983333,2019/10/16 14:51,2019/10/16 16:50,13.01748333,2019/6/26 17:45,2019/6/27 5:55,17.57893333
107,2019/8/28 17:02,2019/8/28 19:22,7.480366667,2019/9/11 18:39,2019/9/11 19:38,5.269466667,2019/10/17 19:06,2019/10/17 21:16,14.10161667,2019/6/28 14:29,2019/6/28 15:07,0.173833333
108,2019/8/29 16:13,2019/8/29 18:38,7.82095,2019/9/12 19:30,2019/9/12 20:56,7.984933333,2019/10/18 14:24,2019/10/18 15:56,9.6387,2019/6/29 9:25,2019/6/29 9:46,0.143266667
109,2019/8/30 17:27,2019/8/30 19:35,6.8775,2019/9/13 19:32,2019/9/13 20:55,7.7134,2019/10/19 14:13,2019/10/19 15:53,10.61531667,2019/6/29 19:51,2019/6/30 6:26,15.39326667
110,2019/8/31 9:32,2019/8/31 11:48,7.23115,2019/9/14 21:32,2019/9/14 22:25,4.19625,2019/10/20 11:05,2019/10/20 12:37,9.587833333,2019/6/30 12:10,2019/6/30 13:32,0.182933333
111,2019/8/31 15:20,2019/8/31 16:39,4.051316667,2019/9/15 16:22,2019/9/15 17:23,5.254216667,2019/10/22 13:50,2019/10/22 15:19,9.356033333,2019/6/30 14:36,2019/6/30 15:24,0.160633333
112,2019/8/31 20:48,2019/8/31 23:14,7.838866667,2019/9/16 17:36,2019/9/16 17:47,1.061183333,2019/10/23 9:34,2019/10/23 10:25,4.583583333,2019/6/30 15:29,2019/6/30 15:38,0.094066667
113,2019/9/2 15:15,2019/9/2 17:19,6.594483333,2019/9/16 18:00,2019/9/16 18:41,2.76785,2019/10/23 15:10,2019/10/23 16:47,10.43223333,2019/6/30 15:39,2019/6/30 15:43,0.02575
114,2019/9/3 16:49,2019/9/3 19:00,6.972166667,2019/9/17 16:37,2019/9/17 17:34,4.568466667,2019/10/24 17:19,2019/10/24 18:25,6.7571,2019/6/30 15:45,2019/6/30 15:47,0.008516667
115,2019/9/4 18:57,2019/9/4 21:55,9.646083333,2019/9/18 17:23,2019/9/18 18:30,5.8127,2019/10/26 14:12,2019/10/26 16:06,12.36816667,2019/7/6 7:47,2019/7/6 7:51,0.055866667
116,0,2019/9/5 15:30,13.2649,2019/9/19 18:49,2019/9/19 20:09,7.48255,2019/10/28 17:19,2019/10/28 18:45,8.995083333,2019/7/6 17:13,2019/7/6 17:15,0.023533333
117,2019/9/5 20:03,2019/9/5 22:21,7.378133333,2019/9/20 7:54,2019/9/20 8:46,4.240333333,2019/10/29 15:54,2019/10/29 17:29,10.19638333,2019/7/6 17:21,2019/7/6 17:24,0.03225
118,2019/9/23 16:04,2019/9/23 18:15,7.06695,2019/9/20 17:01,2019/9/20 17:46,3.36255,2019/10/30 9:26,2019/10/30 10:24,5.79615,2019/7/9 16:26,2019/7/9 16:28,0.005883333
119,2019/9/23 18:18,2019/9/23 18:20,0.006116667,2019/9/21 15:47,2019/9/21 16:39,4.285666667,2019/10/30 14:58,2019/10/30 16:31,9.9842,2019/7/9 17:00,2019/7/10 6:25,13.08645
120,2019/9/24 16:37,2019/9/24 18:51,7.13155,2019/9/22 17:23,2019/9/22 18:19,6.041766667,2019/10/31 13:04,2019/10/31 14:46,10.95893333,2019/7/10 16:10,2019/7/10 16:48,0.211883333
121,2019/9/25 18:43,2019/9/25 21:04,7.5312,2019/9/22 20:30,2019/9/22 21:12,3.484216667,0,0,0,2019/7/10 19:03,2019/7/11 4:07,13.05843333
122,2019/9/26 16:48,2019/9/26 19:05,7.306116667,2019/9/23 16:28,2019/9/23 17:15,3.729933333,0,0,0,2019/7/12 13:16,2019/7/12 13:36,0.111016667
